id,name,company,description,price,category,stock,images,sellerName,createdAt
1,Wireless Earbuds,SoundTech,High-quality wireless earbuds with noise cancellation.,59.99,Electronics,150,"['image1.jpg', 'image2.jpg']",TechStore,2024-01-01T10:00:00Z
2,Gaming Laptop,GamePro,High-performance gaming laptop with RGB keyboard.,1299.99,Computers,50,['image3.jpg'],LaptopHub,2024-01-02T11:00:00Z
3,Smartphone,PhoneMax,Latest smartphone with cutting-edge features.,999.99,Mobiles,200,"['image4.jpg', 'image5.jpg']",MobileWorld,2024-01-03T12:00:00Z
4,Bluetooth Speaker,AudioPlus,Portable Bluetooth speaker with deep bass.,79.99,Electronics,300,['image6.jpg'],SoundCity,2024-01-04T13:00:00Z
5,Office Chair,ChairPro,Ergonomic office chair with lumbar support.,149.99,Furniture,100,['image7.jpg'],FurnitureMart,2024-01-05T14:00:00Z
6,Fitness Tracker,FitTech,Advanced fitness tracker with heart rate monitoring.,49.99,Wearables,500,['image8.jpg'],HealthHub,2024-01-06T15:00:00Z
7,4K Smart TV,VisionTech,Ultra HD 4K Smart TV with HDR support.,799.99,Electronics,75,"['image9.jpg', 'image10.jpg']",TVWorld,2024-01-07T16:00:00Z
8,Coffee Maker,BrewMaster,Automatic coffee maker with multiple brew settings.,99.99,Kitchen Appliances,120,['image11.jpg'],KitchenStore,2024-01-08T17:00:00Z
9,Electric Kettle,BoilPro,Fast boiling electric kettle with auto shut-off.,39.99,Kitchen Appliances,250,['image12.jpg'],ApplianceMart,2024-01-09T18:00:00Z
10,Running Shoes,RunFit,Lightweight running shoes with superior cushioning.,89.99,Footwear,400,['image13.jpg'],ShoeStore,2024-01-10T19:00:00Z
11,Wireless Mouse,ClickTech,Ergonomic wireless mouse with adjustable DPI.,29.99,Accessories,600,['image14.jpg'],GadgetHub,2024-01-11T20:00:00Z
12,Gaming Headset,GameSound,Surround sound gaming headset with noise isolation.,99.99,Accessories,150,['image15.jpg'],GameGear,2024-01-12T21:00:00Z
